projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
44998585,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:29f7ebd64c35c4b4ae4a9350deba1f4d35b4daad/raw/,0,0,https://pypi.org/project/msal-extensions/
42056206,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:2a31d814d2ebe23fd4ac114491ba16668d05e6d4/raw/,2,6,https://github.com/brightmart/text_classification
45435434,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:82cfd539cca95fd69acf144f1a1b2d744d139870/raw/,3,99,https://github.com/taki0112/Tensorflow-Cookbook
45527559,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:bd3b4aa575e90873e3b50468f7dc178d32c34b17/raw/,6,25,https://github.com/rushter/MLAlgorithms
45493492,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:1730e71230e2c3c3fee1eb755dab60e06f0e8a32/raw/,0,0,https://github.com/bbfamily/abu
44333779,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:5d28d583b5b946957dffdbda0afb8e247593f315/raw/,0,0,https://pypi.org/project/sentry-sdk/
45572677,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:81088328a05153f341b403a0a4fc187f42005898/raw/,0,0,deb://Debian/packages/python-geojson
45556374,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:12ee1876b145039ffa7baf594f78ae64bbf25162/raw/,1,1,https://github.com/Dod-o/Statistical-Learning-Method_Code
43022071,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:caf682844300d3af5fa20332a330ad12bf3fb7bc/raw/,0,0,deb://Debian/packages/tryton-modules-sale-shipment-cost
45445799,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:cffd79e11eab5ad89bbe004073dfb7983d9c5edd/raw/,3,4,https://github.com/minimaxir/big-list-of-naughty-strings
45552821,2,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:a24b7cf9e2684d40c4a147beb11f1a4a3df1b8b1/raw/,4,65,https://github.com/dbader/schedule
45183213,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:59532f1d52ec10b0dbf51c93e122e77775c665fb/raw/,0,0,https://pypi.org/project/azure-mgmt-dns/
44659464,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:6b149ec9cfbc2e5afd50e8f638d0cc33eb1b649e/raw/,0,0,https://gitlab.com/vagnum08/cpupower-gui.git
45629636,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:580db8f5879846ae1c337f9491adcec662f8c328/raw/,2,99,https://github.com/baowenbo/DAIN
42894707,2,TRUE,null,8,32,https://gitlab.com/pycqa/pycodestyle.git
45290561,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:ab9cb7c92a7d4675eb8ae3fc3ff88ba4d85cfcc5/raw/,0,0,deb://Debian/packages/tryton-modules-purchase-shipment-cost
44980757,6,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:0fbbbc5cf60c47fa9369198e6dd714acb200deef/raw/,0,0,https://github.com/zihangdai/xlnet
45625977,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:dc35ddc88ced0d12e2ea2112c6445cdee7bf4503/raw/,0,0,deb://Debian/packages/tryton-modules-party-relationship
43922842,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:72b29d66f8e03981a32672a98e8fc331958c595e/raw/,0,0,https://pypi.org/project/autograd/
