projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
44997950,0,FALSE,checked,3,201,https://github.com/cool-RR/PySnooper
44998585,1,TRUE,checked,0,0,https://pypi.org/project/msal-extensions/
45053002,1,FALSE,checked,0,0,deb://Debian/packages/kazam
45053900,1,FALSE,null,0,0,deb://Debian/packages/django-testproject
45071168,13,FALSE,checked,7,150,https://github.com/encode/starlette
45102571,1,FALSE,checked,0,0,https://pypi.org/project/orderedmultidict/
45103181,1,FALSE,checked,3,133,https://github.com/xmendez/wfuzz
45104998,1,FALSE,checked,0,0,https://pypi.org/project/pyotp/
45109041,5,TRUE,null,13,96,https://github.com/aws/chalice
45118390,4,FALSE,checked,2,8,https://github.com/iGhibli/iOS-DeviceSupport
45125619,1,FALSE,checked,0,0,https://pypi.org/project/cmdstanpy/
45134002,1,FALSE,checked,1,11,https://github.com/tebelorg/RPA-Python
45140755,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-sale-extra
45142109,1,FALSE,checked,5,85,https://github.com/PyQt5/PyQt
45159302,2,FALSE,checked,4,286,https://github.com/p-christ/Deep-Reinforcement-Learning-Algorithms-with-PyTorch
45159500,2,FALSE,checked,7,130,https://github.com/Kr1s77/awesome-python-login-model
45160865,3,TRUE,null,8,62,https://github.com/jazzband/django-debug-toolbar
45162014,1,FALSE,checked,2,56,https://github.com/yzhao062/anomaly-detection-resources
45183213,1,FALSE,checked,0,0,https://pypi.org/project/azure-mgmt-dns/
45184768,10,TRUE,checked,12,253,https://github.com/doccano/doccano
45185488,0,TRUE,null,0,0,https://github.com/google/gif-for-cli
45190984,1,TRUE,checked,0,0,https://pypi.org/project/pika/
45196764,0,FALSE,checked,2,15,https://gitlab.com/raioramalho/bssidfinder.git
45219631,0,TRUE,null,3,16,https://github.com/PokeAPI/pokeapi
45230775,1,TRUE,null,12,137,https://github.com/dmlc/dgl
45235047,1,TRUE,checked,0,0,https://pypi.org/project/azure-storage-file/
45240429,1,FALSE,checked,0,0,deb://Debian/packages/gourmet
45241789,0,FALSE,checked,1,40,https://gitlab.com/ae-dir/python-aedir.git
45250928,1,FALSE,checked,0,0,https://pypi.org/project/text-unidecode/
45258099,1,TRUE,checked,0,0,https://pypi.org/project/azure-storage-blob/
45267481,5,TRUE,null,0,0,https://github.com/tensortrade-org/tensortrade
45269223,0,FALSE,checked,4,16702,https://github.com/openstack/openstack
45283431,2,FALSE,checked,8,395,<no origin>
45290561,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-purchase-shipment-cost
45303080,1,FALSE,checked,0,0,https://pypi.org/project/azure-mgmt-servicefabric/
45308844,1,TRUE,null,0,0,deb://Debian/packages/lxc
45325276,1,FALSE,checked,0,0,https://pypi.org/project/marshmallow-enum/
45337675,1,FALSE,checked,0,0,https://pypi.org/project/thrift-sasl/
45340169,0,FALSE,checked,16,548,https://gitlab.com/inkscape/extensions.git
45349705,2,FALSE,checked,1,7,https://github.com/InsaneLife/ChineseNLPCorpus
45351122,8,TRUE,null,0,0,https://github.com/heartexlabs/label-studio
